******* x ********
 [Time]   [True]  [No Assim]  [Assim]
   0.00     5.000     4.000     4.000
   0.20     4.953     4.157     4.157
   0.40     4.813     4.223     5.143
   0.60     4.588     4.204     5.138
   0.80     4.286     4.105     4.349
   1.00     3.919     3.931     4.005
   1.20     3.496     3.692     3.833
   1.40     3.030     3.394     3.425
   1.60     2.531     3.047     2.722
   1.80     2.013     2.661     2.209
   2.00     1.484     2.246     1.568
   2.20     0.958     1.811     1.031
   2.40     0.443     1.365     0.623
   2.60    -0.051     0.919     0.121
   2.80    -0.516     0.480    -0.354
   3.00    -0.944     0.058    -0.794
   3.20    -1.329    -0.342    -1.234
   3.40    -1.667    -0.712    -1.587
   3.60    -1.952    -1.047    -1.875
   3.80    -2.183    -1.342    -2.124
   4.00    -2.359    -1.595    -2.227
   4.20    -2.479    -1.802    -2.369
   4.40    -2.544    -1.962    -2.458
   4.60    -2.555    -2.075    -2.494
   4.80    -2.516    -2.141    -2.479
   5.00    -2.431    -2.162    -2.417
   5.20    -2.304    -2.139    -2.311
   5.40    -2.139    -2.076    -2.167
   5.60    -1.941    -1.977    -1.989
   5.80    -1.718    -1.845    -1.783
   6.00    -1.474    -1.684    -1.553
   6.20    -1.215    -1.501    -1.307
   6.40    -0.948    -1.298    -1.050
   6.60    -0.677    -1.082    -0.786
   6.80    -0.409    -0.858    -0.523
   7.00    -0.149    -0.629    -0.265
   7.20     0.100    -0.402    -0.016
   7.40     0.332    -0.179     0.218
   7.60     0.545     0.034     0.435
   7.80     0.735     0.234     0.632
   8.00     0.899     0.418     0.804

******* v ********
 [Time]   [True]  [No Assim]  [Assim]
   0.00     0.000     1.000     1.000
   0.20    -0.485     0.545     0.545
   0.40    -0.932     0.105     0.224
   0.60    -1.336    -0.311    -0.290
   0.80    -1.690    -0.698    -1.563
   1.00    -1.992    -1.049    -1.879
   1.20    -2.237    -1.359    -1.920
   1.40    -2.425    -1.625    -2.162
   1.60    -2.555    -1.844    -2.514
   1.80    -2.628    -2.015    -2.608
   2.00    -2.646    -2.137    -2.694
   2.20    -2.611    -2.211    -2.665
   2.40    -2.528    -2.237    -2.556
   2.60    -2.400    -2.218    -2.444
   2.80    -2.233    -2.158    -2.291
   3.00    -2.032    -2.059    -2.102
   3.20    -1.804    -1.925    -1.881
   3.40    -1.553    -1.762    -1.635
   3.60    -1.287    -1.574    -1.373
   3.80    -1.011    -1.367    -1.099
   4.00    -0.731    -1.144    -0.843
   4.20    -0.453    -0.913    -0.570
   4.40    -0.182    -0.676    -0.302
   4.60     0.077    -0.441    -0.044
   4.80     0.319    -0.210     0.201
   5.00     0.541     0.012     0.428
   5.20     0.741     0.221     0.633
   5.40     0.914     0.413     0.814
   5.60     1.059     0.586     0.969
   5.80     1.176     0.738     1.097
   6.00     1.263     0.867     1.196
   6.20     1.321     0.972     1.265
   6.40     1.350     1.052     1.307
   6.60     1.350     1.107     1.320
   6.80     1.325     1.137     1.307
   7.00     1.275     1.143     1.270
   7.20     1.204     1.127     1.210
   7.40     1.113     1.090     1.130
   7.60     1.005     1.034     1.032
   7.80     0.885     0.961     0.921
   8.00     0.754     0.873     0.797

